wavelenghts,device 1,device 2,difference ,avg,max
478.19,1499,1499.7,0.7,,
478.65,1499.3,1499.3,0,,
479.12,1500,1497.7,2.3,,
479.59,1500,1500.3,0.3,,
480.06,1499.3,1499.4,0.1,,
480.52,1499,1500,1,,
480.99,1499,1500,1,,
481.46,1501.3,1499.7,1.6,,
481.93,1500.3,1500.9,0.6,,
482.39,1500.3,1499.1,1.2,,
482.86,1501.7,1500.6,1.1,,
483.33,1500.3,1501.3,1,,
483.8,1499.7,1497.2,2.5,,
484.26,1499,1498.9,0.1,,
484.73,1499.3,1499,0.3,,
485.2,1502,1500.6,1.4,,
485.67,1500.3,1501.6,1.3,,
486.13,1500.3,1497.1,3.2,,
486.6,1499,1500.7,1.7,,
487.07,1500,1502.6,2.6,,
487.54,1497.7,1498.6,0.9,,
488.01,1501.3,1498.6,2.7,,
488.47,1498.7,1497.1,1.6,,
488.94,1501,1501.9,0.9,,
489.41,1499,1503.6,4.6,,
489.88,1500.7,1500,0.7,,
490.35,1498,1499.4,1.4,,
490.81,1502.3,1500.2,2.1,,
491.28,1499.3,1501.5,2.2,,
491.75,1500.3,1496.9,3.4,,
492.22,1500,1498.7,1.3,,
492.69,1502.3,1499.9,2.4,,
493.16,1499.3,1502.7,3.4,,
493.62,1499.3,1498.2,1.1,,
494.09,1500.3,1499.5,0.8,,
494.56,1499.7,1502.4,2.7,,
495.03,1500,1501.8,1.8,,
495.5,1500,1500.2,0.2,,
495.97,1501,1499.4,1.6,,
496.43,1498.7,1498.8,0.1,,
496.9,1500,1500.7,0.7,,
497.37,1500.7,1500.4,0.3,,
497.84,1500,1500.9,0.9,,
498.31,1500.7,1497.5,3.2,,
498.78,1497.3,1501.1,3.8,,
499.25,1500.7,1499.3,1.4,,
499.72,1503,1499,4,,
500.19,1500,1501.3,1.3,,
500.65,1497.7,1498.3,0.6,,
501.12,1498.3,1498,0.3,,
501.59,1499.3,1499.4,0.1,,
502.06,1500.7,1498.5,2.2,,
502.53,1501,1499.8,1.2,,
503,1498.3,1500.6,2.3,,
503.47,1500,1500.1,0.1,,
503.94,1499.7,1499.2,0.5,,
504.41,1496.3,1499,2.7,,
504.88,1498.3,1500.9,2.6,,
505.35,1500.7,1499.7,1,,
505.82,1500,1499.9,0.1,,
506.28,1499.3,1499.2,0.1,,
506.75,1501.7,1500.1,1.6,,
